Gene,ADS,DAGS,CDAS,CAIS
add,0.0299,0.0557,0.0074,0.0286
esxP,0.0,0.0557,0.0074,0.0005
cdd,0.0299,0.0357,0.0135,0.0289
rpmH,0.0149,0.0257,0.0209,0.0153
pup,0.0896,0.1156,0.0074,0.0846
rpiB,0.006,0.0197,0.0282,0.0074
relK,0.1493,0.1756,0.0074,0.1407
proS,0.0115,0.0096,0.0859,0.016
cobU,0.0398,0.0357,0.0356,0.0395
prrA,0.1095,0.1156,0.0135,0.1037
arfB,0.01,0.0357,0.0135,0.0102
rpmD,0.1493,0.2355,0.0,0.1403
frdC,0.0597,0.0557,0.0209,0.0573
rmlD,0.0299,0.0357,0.0135,0.0289
pyrE,0.0299,0.0357,0.0135,0.0289
PE18,0.0896,0.1156,0.0074,0.0846
recR,0.0299,0.0357,0.0135,0.0289
smtB,0.2209,0.2116,0.0282,0.2092
esxN,0.0299,0.1156,0.0,0.0282
hisH,0.0384,0.0214,0.0429,0.0387
argR,0.1294,0.1356,0.0135,0.1224
TB9.4,0.0299,0.1156,0.0,0.0282
acyP,0.0697,0.0757,0.0135,0.0663
esxW,0.0597,0.0857,0.0074,0.0565
